Repository name,Username,Stars,URL
free-programming-books-zh_CN,justjavac,110000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,95100,https://github.com/angular/angular
storybook,storybookjs,83400,https://github.com/storybookjs/storybook
33-js-concepts,leonardomso,62600,https://github.com/leonardomso/33-js-concepts
ionic-framework,ionic-team,50600,https://github.com/ionic-team/ionic-framework
prettier,prettier,48700,https://github.com/prettier/prettier
30-Days-Of-JavaScript,Asabeneh,41700,https://github.com/Asabeneh/30-Days-Of-JavaScript
sheetjs,SheetJS,34700,https://github.com/SheetJS/sheetjs
angular-cli,angular,26700,https://github.com/angular/angular-cli
components,angular,24200,https://github.com/angular/components
NativeScript,NativeScript,23900,https://github.com/NativeScript/NativeScript
javascript-testing-best-practices,goldbergyoni,23800,https://github.com/goldbergyoni/javascript-testing-best-practices
wails,wailsapp,23300,https://github.com/wailsapp/wails
javascript-interview-questions,sudheerj,22700,https://github.com/sudheerj/javascript-interview-questions
nx,nrwl,22600,https://github.com/nrwl/nx
generator-jhipster,jhipster,21300,https://github.com/jhipster/generator-jhipster
rxdb,pubkey,20900,https://github.com/pubkey/rxdb
paperless-ngx,paperless-ngx,18000,https://github.com/paperless-ngx/paperless-ngx
bit,teambit,17700,https://github.com/teambit/bit
sweetalert2,sweetalert2,17000,https://github.com/sweetalert2/sweetalert2
